title;text
Die durch politischen Streit verursachte Zwangssperre für die US-Regierung endet nach drei Tagen. US-Präsident Donald Trump hat am Montagnachmittag (Ortszeit) eine Übergangslösung für das Budget bis 8. Februar unterzeichnet, die zuvor vom Kongress verabschiedet worden war. Hunderttausende von Bundesbediensteten, die am Montag zuhause geblieben waren," kehren damit am Dienstag zur Arbeit zurück.Der parteiübergreifende Kompromiss wurde im Senat mit 80 gegen 18 Stimmen und danach im Repräsentantenhaus mit 266 gegen 150 Stimmen abgesegnet. Der als """"Shutdown"""" bezeichnete Regierungsstillstand hatte eine dunkle Wolke über den ersten Jahrestag von Trumps Präsidentschaft am Samstag gelegt.Entsprechend enthusiastisch reagierte Trump auf den schließlich erreichten Kompromiss. Er sei """"erfreut darüber"," dass die Demokraten zur Besinnung gekommen sind""""", erklärte Trump. Er hatte von Anfang an der Opposition vorgeworfen," für den """"Shutdown"""" verantwortlich zu sein. Die jetzt erreichte Übergangslösung hat für Trump den positiven Nebeneffekt", dass er seine Reise zum Weltwirtschaftsforum in Davos in dieser Woche nicht absagen muss.Die Demokraten beschuldigten den Präsidenten," durch schwankende Positionen zum Einwanderungsrecht eine Einigung erschwert zu haben. Die Immigrationsthemen spielten in den Budgetverhandlungen eine zentrale Rolle.Die Republikaner hätten in den Verhandlungen """"nie eine klare Vorstellung davon gehabt"," was ihr Präsident will""""", kritisierte der Chef der Demokraten im Senat, Chuck Schumer. Der zwischen Schumer und seinem republikanischen Pendant Mitch McConnell erzielte Kompromiss sieht vor," dass bis zum 8. Februar über eine umfassende Neuregelung der Einwanderungspolitik verhandelt wird.Den Demokraten geht es dabei vor allem um den Status von rund 700.000 als """"Dreamers"""" (Träumer) bezeichneten Einwanderern. Dies sind Immigranten", die als Minderjährige illegal ins Land gekommen waren. Die Demokraten wollen durchsetzen, dass sie ein dauerhaftes Bleiberecht erhalten.Die Kompromisslösung kommt allerdings de facto einem Einlenken der Demokraten gleich. Zuvor hatten sie ihre Zustimmung zu einem Budgetgesetz noch davon abhängig gemacht," dass bereits eine Lösung für die """"Dreamers"""" gefunden ist. Nun gab sich die Führung der Demokraten im Senat damit zufrieden", dass lediglich konkret über das Schicksal dieser Einwanderergruppe verhandelt wird.Trump schien kurz nach der Einigung die Hoffnungen der Demokraten auf einen raschen Kompromiss in den Einwanderungsfragen dämpfen zu wollen. Er werde nur eine solche Reform akzeptieren," die """"gut für unser Land ist""""", erklärte er. Dem Präsidenten geht es vor allem um die Bereitstellung von Geldern für sein Prestigeprojekt einer Mauer an der Grenze zu Mexiko.Die Verquickung der Budget- mit den Einwanderungsfragen hatte die Etatverhandlungen von vornherein erheblich erschwert. Sollte bis zum 8. Februar kein parteiübergreifender Kompromiss gefunden werden, ist nicht auszuschließen, dass die Demokraten eine erneute Budgetsperre erzwingen.Ausgelöst worden waren die Budgetverhandlungen durch das Erreichen einer Schuldenobergrenze. Die Sperre trat dann in der Nacht auf Samstag in Kraft, nachdem im Senat bis zu diesem Zeitpunkt nicht die nötige Mehrheit für einen Übergangsbudget zustande gekommen war.Für die Budgetgesetze wird in der Kammer eine Mehrheit von mindestens 60 der 100 Stimmen gebraucht. Die Republikaner haben nur 51 Sitze," sind also auf Stimmen aus den Reihen der Opposition angewiesen.Am Montag waren die ersten Auswirkungen des """"Shutdown"""" erkennbar. Zehntausende Regierungsmitarbeiter mussten Zwangsurlaub nehmen"," andere erledigten nur noch Restarbeiten in ihren Büros. Am Wochenende hatte es mit Ausnahme von geschlossenen Touristenattraktionen kaum spürbare Einschnitte gegeben. Lediglich Trumps Feier zum Jahrestag seiner Amtsübernahme in Florida musste ohne den Gastgeber stattfinden.Seit 1990 gab es in den USA vier Stilllegungen der Bundesregierung. Zuletzt war dies 2013 der Fall. Damals dauerte der Regierungsstillstand 16 Tage."""
"Schwarzenegger trifft Kurz im Kanzleramt;""Arnold Schwarzenegger besucht am Mittwoch Bundeskanzler Kurz im Kanzleramt. Dabei wird es auch um das Thema Klima gehen. Arnold Schwarzenegger", die steirische Eiche," trifft nach Informationen der Kleinen Zeitung am Mittwoch Bundeskanzler Sebastian Kurz in Wien. Neben dem direkten Kennenlernen steht der Mitte Mai in Wien geplante Klimagipfel """"Austrian World Summit"""" im Fokus der Zusammenkunft. Schwarzenegger weilt derzeit in Österreich", am Wochenende fieberte er beim Weltcup in Kitzbühel mit, heute wird er am Abend zum Night-Race in Schladming erwartet. Schwarzenegger unterhielt in der Vergangenheit stets gute Beziehungen zum Bundespräsidenten und zum jeweiligen Bundeskanzler, etwa Werner Faymann oder auch Christian Kern. Der erstmals im letzten Jahr veranstaltete Summit befasst sich vor allem mit Best-Practice-Beispielen zur Erreichung der Pariser Klimaziele," konkrete Projekte im Bereich von """"Green Jobs"""" stehen dabei im Vordergrund.  Leiter der InnenpolitikLeiter der InnenpolitikVielleicht kann Arnie im entlockenwarum er bei seiner schriftlichen Rauchverbotszusage umgefallen ist. Warum er zu Mitterlehner gestanden ist und ihm schon in den Ruecken fiel. Warum er die Koalitionsvereinbarung mit einem Strategiepapier schon zu Beginn torpedieren gedachte. Alles feiner Gespraechsstoff."""
"UNO-Sicherheitsrat beriet über türkische Offensive in Syrien;""Präsident Recep Tayyip Erdogan zeigte sich zugleich entschlossen", die Offensive zum Abschluss zu führen, und kündigte an," """"keinen Schritt"""" zurückzuweichen.Der UNO-Sicherheitsrat in New York hat am Montag über die türkische Offensive gegen Kurdenstellungen in Nordsyrien beraten"," jedoch kein ein Ende der Militäraktion gefordert. Die Militäraktion sei """"natürlich Teil der Diskussion gewesen"""""," sagte der französische UNO-Botschafter François Delattre im Anschluss an die Beratungen hinter verschlossenen Türen.""""Der Ruf nach Zurückhaltung wurde", glaube ich," in der Diskussion weitgehend geteilt""""", sagte Delattre. Eine gemeinsame Erklärung der Sicherheitsratsmitglieder gab es nicht. Die UNO-Botschafterin der USA, Nikki Haley," nahm nach Angaben aus Diplomatenkreisen nicht an den Beratungen teil.Delattre verwies auf die """"tragische humanitäre Situation"," verursacht durch die Operationen des syrischen Regimes und seiner Verbündeten"""" vor allem in Idlib und Ost-Ghouta. Die Lage in Afrin sei jedoch nur ein Aspekt """"der Situation in Syrien"""". """"Oberste Priorität"""" müsse weiterhin der Kampf gegen den Terrorismus und vor allem gegen den IS haben.Bereits vor der türkischen Offensive war geplant gewesen", dass der UN-Sicherheitsrat einen Bericht des UN-Nothilfekoordinators Mark Lowcock über die humanitäre Lage in Syrien anhören würde. Auf Antrag Frankreichs ging es auch um die türkische Offensive in Afrin sowie die syrische Offensive in Idlib und Ost-Ghouta.Die türkische Armee lieferte sich am dritten Tag ihres Angriffs in der syrischen Region Afrin heftige Kämpfe mit den kurdischen Volksverteidigungseinheiten (YPG). Präsident Recep Tayyip Erdogan zeigte sich zugleich entschlossen, die Offensive zum Abschluss zu führen, und kündigte an," """"keinen Schritt"""" zurückzuweichen.Die türkische Offensive in Afrin ist brisant für die USA"," da sie die YPG im Kampf gegen den IS unterstützen. Die Türkei dagegen betrachtet die YPG als syrischen Zweig der verbotenen Arbeiterpartei Kurdistans (PKK) und damit als Terrororganisation."""
"Abgeschaffter Beschäftigungsbonus brachte 80.000 Jobs;""Eine der ersten Handlungen der neuen Regierung war die Abschaffung des Beschäftigungsbonus. 80.000 neue Jobs wurden dadurch gefördert", 1400 alleine bei Magna.Der Beschäftigungsbonus, Förderprogramm für neu angestellte Mitarbeiter, ist ausgelaufen. Seit 1. Februar können keine neuen Anträge mehr gestellt werden. Bis dahin gingen bei der Förderbank aws 14.673 Anträge für 79.300 Arbeitnehmer ein," bestätigte das aws Berichte von """"Standard"""" und """"Salzburger Nachrichten"""".Das Fördervolumen beläuft sich auf 1",13 Mrd. Euro, der Bund hat sich damit gegenüber dem ursprünglichen Budget von 2 Mrd. Euro zumindest rund 900 Mio. Euro erspart. Denn beim Fördervolumen handelt es sich um einen Maximalbetrag - falls alle Anträge gültig sind und alle unter dem Programm entstandenen Jobs drei Jahre, also die volle Laufzeit der Förderung, bleiben, sagte aws-Sprecher Matthias Bischof zur APA.Nachdem die Regierung im Dezember das vorzeitige Aus für die Förderung verkündet hat, sind über 2.000 Anträge eingegangen," schreibt der """"Standard"""". Der Automobilzulieferer Magna habe 1.400 Anträge gestellt", aber knapp die Hälfte der Anträge stammten von Kleinstunternehmen mit weniger als zehn Mitarbeitern. Rund ein Drittel sei auf Firmen mit bis zu 50 Mitarbeitern entfallen, der Rest auf Mittel- (13 Prozent) und Großbetriebe (sechs Prozent), schreibt die Zeitung.Den Beschäftigungsbonus gibt es für Betriebe, die ab 1. Juli 2017 zusätzliche Jobs schaffen. Sie konnten bis zu drei Jahre einen Zuschuss zu den Lohnnebenkosten beantragen, der 50 Prozent der Dienstgeberbeiträge ausmacht. Der Zuschuss wird ein Mal jährlich im Nachhinein ausbezahlt, das erste Mal also im Sommer 2018. ...Was für ein Trara...bei 1500 netto macht der DB 79 Euro aus. D.h. Die Firma erspart sich 39,50 im Monat. Deswegen stellt niemand einen neuen Mitarbeiter ein. Die Förderung wurde  wohl eher als kleines Zuckerl bei einer sowieso anstehenden Personalaufstockung gesehen.Bei 1400 Anträgen sind das Netto € 55300,"- Ersparnis ! Ist ja auch kein Pappenstiel."""
"Wie eine steirische Schraube den Weltmarkt erobert;""Der Steirer Gerhard Oliver Hubmann wurde für die „Neuerfindung der Schraube“ mit dem Staatspreis prämiert. Noch heuer soll die patentierte Innovation in 2200 US-Baumärkten angeboten werden. "

Wer von sich behauptet, so etwas – vermeintlich – Alltägliches wie die Schraube neu erfunden zu haben," könnte durchaus Skeptiker auf den Plan rufen. Der findige Steirer Gerhard Oliver Hubmann hat da einen entscheidenden Vorteil: Er kann andere für sich sprechen lassen.Gute Sache - die Schraube. Ob es richtig ist das ganze ins """"Premium"""" Segment zu verschieben sei dahingestellt. Ich kaufe mir sicher keine Schraube die x mal mehr kostet als eine Standardvariante. Da bohre ich lieber vor. Werden wohl die meisten Handwerker auch so sehen. Manche müssen es wohl immer übertreiben. Detto mit der Verpackung. Als ob eine normale Schachtel nicht reichen würde"," so wie bei den Fischer Schrauben die auch gut sind."""
"Die erste Wasserstoff-Bahn der Welt entsteht in Österreich;""""""Bahn frei"""" für Wasserstoff-betriebene Zillertalbahn. Diese soll 2022 in Betrieb gehen.Die Zillertalbahn soll in Zukunft als erste Schmalspurbahn der Welt mit Wasserstoff fahren. Diese Entscheidung habe der Aufsichtsrat nach eingehender Variantenprüfung getroffen"," teilte das Unternehmen am Freitag in einer Aussendung mit. Rund 80 Millionen Euro werden in die neue Wasserstoffbahn inklusive der Infrastruktur investiert. Der Regelbetrieb soll im Jahr 2022 aufgenommen werden.""""Ja", wir betreten mit der Umrüstung der Zillertalbahn vom Dieselbetrieb auf Wasserstoff Neuland. Doch wer in Zukunft dabei sein will," muss neue Wege gehen und Visionen in die Realität umsetzen""""", erklärte der Vorsitzende des Aufsichtsrats der Zillertaler Verkehrsbetriebe (ZVB)," Abg. Franz Hörl (ÖVP). Der Fahrplan bis 2022 sei """"sportlich"""": Vom Test eines Prototyps bis hin zur Ausschreibung der Triebwagen und dem Aufbau der Wasserstoff-Produktionsanlage müsse noch viel passieren.800.000 Liter Diesel - das sind fast 30 Lkw-Tankzüge - verbraucht die Zillertalbahn pro Jahr. Zudem emittiert die Bahn jährlich 2.160 Tonnen CO2. Letztlich fiel die Entscheidung zwischen einem Oberleitungs- und dem wasserstoffelektrischen Betrieb"," so die Verantwortlichen. """"30 Prozent der in Tirol erzeugten Wasserkraft kommen aus dem Zillertal. Wir haben neun Wasserkraftwerke und fünf Speicherseen. Es liegt nahe"," diese regionale Ressource zu nutzen""""", meinte der zuständige LHStv. Josef Geisler (ÖVP). Nicht zuletzt weil die Möglichkeit bestehe," den Wasserstoff an Ort und Stelle herzustellen. Die Fahrzeuge der """"Wasserstoffbahn"""" haben eine technische Nutzungsdauer von 30 Jahren."""
Google-Mutter: Höhere Kosten machen Investoren Sorgen;Die US-Steuerreform drückt das Quartalsergebnis der Google-Mutter Alphabet ins Minus. Bei Google steigen die Werbeerlöse und Ausgaben.Bei Google steigen die Kosten - und das macht den Anlegern Sorgen. Der Internet-Konzern überwies im vergangenen Quartal deutlich mehr Geld an Partner-Websites und verbuchte höhere Ausgaben für die Vermarktung eigener Geräte. Die Aktie verlor im nachbörslichen Handel mehr als zwei Prozent.Die Google-Mutter Alphabet verbuchte wegen der Rückstellung auf Auslandsgewinne nach der US-Steuerreform einen Milliardenverlust im vergangenen Quartal. Der Dachkonzern musste zusätzlich 9,9 Milliarden Dollar (7,96 Mrd Euro) für die Einmal-Abgabe vormerken. Dadurch fielen unterm Strich rote Zahlen von gut drei Milliarden Dollar an. Der Umsatz stieg unterdessen im Jahresvergleich um 24 Prozent auf 32,3 Milliarden Dollar, wie Alphabet nach US-Börsenschluss am Donnerstag mitteilte.Die Aktie war im nachbörslichen Handel zunächst sogar um rund fünf Prozent gefallen. Die Analysten hatten unter anderem mit etwas mehr Umsatz gerechnet.Google verdient den Großteil des Geldes nach wie vor damit, dass Nutzer auf Werbung im Umfeld der Internet-Suche klicken. Zugleich werden aber auch Anzeigen bei der Videoplattform YouTube immer wichtiger. Und das Cloud-Geschäft bringe inzwischen Umsätze von einer Milliarde Dollar pro Quartal ein, sagte Google-Chef Sundar Pichai. Zugleich macht Google Druck bei Geräten, in denen sein Sprachassistent Google Assistant integriert ist, der mit Amazons Alexa und Apples Siri konkurriert.Während die eigenen Google-Werbeerlöse von 18 auf 22,2 Milliarden Dollar stiegen, überwies Google den Partnern 6,45 Milliarden Dollar. Das waren 24 Prozent mehr als vor einem Jahr. Zugleich gelingt es Google weiterhin, die niedrigeren Einnahmen pro Klick auf eine Online-Anzeige (minus 14 Prozent) durch eine deutlich höhere Zahl der Klicks (plus 43 Prozent) mehr als auszugleichen.Weiterhin ist es so, dass Google bei Alphabet das Geld verdient, während die anderen Projekte wie die Roboterwagen-Firma Waymo oder der Smarthome-Spezialist Nest unterm Strich Verluste schreiben. Google steigerte den operativen Gewinn von 7,9 Milliarden Dollar vor einem Jahr auf 8,8 Milliarden. Das Minus der anderen Bereiche sank in dieser Zeit von rund 1,1 Milliarden Dollar auf 916 Millionen Dollar. Alphabet macht keine Angaben zu Ergebnissen der einzelnen Firmen.Zum neuen Vorsitzenden des Verwaltungsrates ernannte Alphabet einen früheren Präsidenten der Elite-Uni Stanford, John Hennessy. Der frühere Google-Chef Eric Schmidt hatte die Führung des Kontrollgremiums im Dezember abgegeben. Hennessy war bereits 2004 in den damaligen Google-Verwaltungsrat eingezogen.
"Bilanz der Deutsche Bank bietet Stoff für Kontroversen;""Die US-Steuerreform verhagelt der Deutsche Bank die Bilanz. Die Manager bestehen dennoch auf ihre Bonuszahlungen.Nach zwei Jahren mit Milliardenverlusten hatten Aktionäre der Deutsche Bank eigentlich 2017 auf ein kleines Plus gehofft. Doch schon vor der Präsentation der Jahreszahlen war klar: Daraus wird nichts. Im Jänner warnte der Vorstand vor dem dritten Verlustjahr.Grund ist die kurz vor Weihnachten beschlossene Steuerreform von US-Präsident Donald Trump. Sie belastet Deutschlands größtes Geldhaus nach Angaben der Bank im vierten Quartal mit rund 1","5 Mrd. Euro. Der als Sanierer geholte Konzernchef John Cryan ist aber weiter """"davon überzeugt"," dass wir auf dem richtigen Weg sind.""""Deshalb wurden auch die Bonuszahlungen für das Management erhöht. Rund eine Milliarde Euro an Sonderleistungen werden ausgeschüttet. """"Wir müssen gerade jetzt in unsere Leute investieren und international wettbewerbsfähig bleiben - auch bei den Gehältern"""""," verteidigte Co-Chef Marcus Schenck den Schritt im Magazin """"Focus"""". """"Im Übrigen können unsere Mitarbeiter nichts dafür"," dass Donald Trump die Steuern senkt und damit einmalig unser Ergebnis belastet.""""Die Reaktion aus der Politik ließ nicht lange auf sich warten. Die SPD wolle deshalb in den Koalitionsverhandlungen mit der Union die steuerliche Absetzbarkeit von Bonuszahlungen begrenzen. Ähnlich äußerte sich CDU-Sozialexperte Matthias Zimmer: Die Boni für Minus-Banker seien eine eigenwillige Interpretation des Grundsatzes"," dass sich Leistung lohnen solle. Durch derartige Praktiken könne die Legitimität einer Wirtschaftsordnung gefährdet werden."""
Apple mit Rekordzahlen - aber Prognose unter Erwartungen;Das iPhone X hat Apple im vergangenen Weihnachtsgeschäft die nächsten Rekordzahlen beschert. Der Gewinn stieg im Jahresvergleich um zwölf Prozent auf gut 20 Milliarden Dollar (16 Mrd. Euro). Den vorherigen Rekordgewinn hatte Apple im Weihnachtsquartal 2015 mit 18,4 Milliarden Dollar erzielt.Zugleich ging der iPhone-Absatz aber im Jahresvergleich um eine Million Geräte auf 77,3 Million Geräte zurück. Das könnte daran gelegen sein, dass das iPhone X erst im November statt wie sonst üblich schon im September in den Handel kam. Das bisher teuerste iPhone war aber eindeutig populär: Der durchschnittliche Preis eines verkauften Apple-Telefons stieg auf 796 Dollar - 40 Dollar mehr als zuvor.Deshalb konnte Apple auch den Quartalsumsatz trotz des geringeren iPhone-Absatzes um 12,7 Prozent auf 88,3 Milliarden Dollar steigern, wie der Konzern nach US-Börsenschluss mitteilte. Den bisherigen Bestwert hatte Apple vor einem Jahr mit 78,35 Milliarden Dollar erreicht.Die Prognose für das laufende Vierteljahr fiel allerdings unter den Erwartungen der Analysten aus. Das könnte darauf hinweisen, dass sich das iPhone X nach dem ersten Schub nun doch schlechter verkauft als gedacht. Zuletzt hatte es Berichte von Medien und Analysten gegeben, wonach Apple angesichts inzwischen abgeschwächter Nachfrage die Produktion des iPhone X zurückfahren wolle. Der Konzern rechnet für das angebrochene Quartal mit Erlösen in einer Spanne zwischen 60 und 62 Milliarden Dollar. Analysten hatten eher mit 65 Milliarden gerechnet. Von Jänner bis März 2017 hatte Apple einen Umsatz von knapp 53 Milliarden Dollar verbucht. Die Apple-Aktie gab im nachbörslichen Handel zeitweise um rund ein Prozent nach.
"Letzer Anlauf zur Rettung von ""Göttin des Glücks"";""Mit einem ehrlichen Aufruf wendet sich die Erfinderin des Modelabels """"Göttin des Glücks"""" an ihre Fans. Sie braucht 100.000 Euro.Vor zehn Jahren hat die Architektin Lisa Muhr das Modelabel """"Göttin des Glücks"""" gegründet", um in Österreich fair gehandelte Mode mit Stoffen in Bioqualität anzubieten. Die ersten Jahre war sie durchaus erfolgreich und konnte mittels Crowdfunding-Kampagnen wachsen.Doch seit zwei Jahren strauchelt das Unternehmen. Es gelingt bisher nicht, die nötige Größe zu erlangen, um wirtschaftlich arbeiten zu können. Ein Shop im 1. Wiener Gemeindebezirk hat sich als Flop herausgestellt.In dieser schwierigen Phase hat sich Muhr dazu entschieden, ein Genossenschaftsmodell auf die Beine zu stellen. Jeder kann mit einer Einzahlung von 100 Euro dabei sein. 200.000 Euro sollten so eingesammelt werden. Stichtag ist der 28. Februar.Doch weil bisher nur rund 98.000 Euro eingesammelt wurden, wendet sich die Gründerin mit einem Video auf Facebook an ihre Fans. Doch seht selbst.Verstehe ich nicht:Wie die Firma noch klein war," ist es ihr gut gegangen und jetzt nach dem Wachsen geht es ihr schlecht?Mein Tipp: Gesundschrumpfen statt noch weiter wachsen!"""
"Die erste Wasserstoff-Bahn der Welt entsteht in Österreich;""""""Bahn frei"""" für Wasserstoff-betriebene Zillertalbahn. Diese soll 2022 in Betrieb gehen.Die Zillertalbahn soll in Zukunft als erste Schmalspurbahn der Welt mit Wasserstoff fahren. Diese Entscheidung habe der Aufsichtsrat nach eingehender Variantenprüfung getroffen"," teilte das Unternehmen am Freitag in einer Aussendung mit. Rund 80 Millionen Euro werden in die neue Wasserstoffbahn inklusive der Infrastruktur investiert. Der Regelbetrieb soll im Jahr 2022 aufgenommen werden.""""Ja", wir betreten mit der Umrüstung der Zillertalbahn vom Dieselbetrieb auf Wasserstoff Neuland. Doch wer in Zukunft dabei sein will," muss neue Wege gehen und Visionen in die Realität umsetzen""""", erklärte der Vorsitzende des Aufsichtsrats der Zillertaler Verkehrsbetriebe (ZVB)," Abg. Franz Hörl (ÖVP). Der Fahrplan bis 2022 sei """"sportlich"""": Vom Test eines Prototyps bis hin zur Ausschreibung der Triebwagen und dem Aufbau der Wasserstoff-Produktionsanlage müsse noch viel passieren.800.000 Liter Diesel - das sind fast 30 Lkw-Tankzüge - verbraucht die Zillertalbahn pro Jahr. Zudem emittiert die Bahn jährlich 2.160 Tonnen CO2. Letztlich fiel die Entscheidung zwischen einem Oberleitungs- und dem wasserstoffelektrischen Betrieb"," so die Verantwortlichen. """"30 Prozent der in Tirol erzeugten Wasserkraft kommen aus dem Zillertal. Wir haben neun Wasserkraftwerke und fünf Speicherseen. Es liegt nahe"," diese regionale Ressource zu nutzen""""", meinte der zuständige LHStv. Josef Geisler (ÖVP). Nicht zuletzt weil die Möglichkeit bestehe," den Wasserstoff an Ort und Stelle herzustellen. Die Fahrzeuge der """"Wasserstoffbahn"""" haben eine technische Nutzungsdauer von 30 Jahren."""
Hirsch Servo kauft drei Werke in Deutschland;Von 800 auf 1000 Mitarbeiter: Der Kärntner Hirsch-Servo-Konzern expandiert weiter.Die Glanegger Hirsch-Servo-Gruppe treibt den Ausbau ihres EPS (Porozell)-Dämmstoffbereiche voran und erwirbt zu den bestehenden 13 drei weitere Produktionsstandorte. Hirsch Servo übernimmt die deutsche EPS-Sparte des französischen Saint Gobain-Konzerns mit ihren rund 180 Mitarbeitern. Die Dämmstoff-Produktionswerke in Rheda-Wiedenbrück, Ebrach und Grombach gehörten zur deutschen Saint Gobain Rigips GmbH, am Donnerstag wurde die Vereinbarung im Rahmen eines Asset Deals – der Übertragung von Wirtschaftsgütern – abgeschlossen. Der Vollzug der Transaktion hänge aber noch an der Erfüllung einiger Bedingungen. Der Eigentümerwechsel soll mit 31. März vollzogen sein, über den Kaufpreis wurde Stillschweigen vereinbart.Redakteur Ressort Wirtschaft Kärnten, Mitglied der ChefredaktionRedakteur Ressort Wirtschaft Kärnten, Mitglied der Chefredaktion
